ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-51N|uniprotkb:P09086	 DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pmid:8530384|pmid:8530384	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-122E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-790N|refseq:NP_004949|uniprotkb:P42345	 DIP-87N|refseq:NP_000792|uniprotkb:P20071	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)|MI:0401(biochemical)|MI:0013(biophysical)	-	pmid:7539137|pmid:7539137|pmid:7539137|pmid:7539137	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-131E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-370N|uniprotkb:P00587	 DIP-114N|refseq:NP_001936|uniprotkb:Q99075	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:9659904	taxid:10703	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-132E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-496N|refseq:NP_005635|uniprotkb:Q16514	 DIP-496N|refseq:NP_005635|uniprotkb:Q16514	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:8598932	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-148E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-420N|refseq:NP_003529|uniprotkb:P02304	 DIP-496N|refseq:NP_005635|uniprotkb:Q16514	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:8598932|pmid:8598932	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-149E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-420N|refseq:NP_003529|uniprotkb:P02304	 DIP-435N|uniprotkb:Q16594	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:8598932|pmid:8598932	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-150E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-421N|refseq:NP_066402|uniprotkb:P06899	 DIP-493N|uniprotkb:Q62311	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:8598932|pmid:8598932	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-151E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-493N|uniprotkb:Q62311	 DIP-922N|refseq:NP_003484|uniprotkb:Q16695	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:8598932|pmid:8598932	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-152E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-839N|refseq:NP_011790|uniprotkb:P46677	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:7935765	taxid:9606	taxid:4932	MI:0218(physical interaction)	MI:0465(dip)	DIP-155E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-147N|refseq:NP_004597|uniprotkb:P21675	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0018(two hybrid)	-	pmid:7680771|pmid:7680771	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-156E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-255N|refseq:NP_729571|uniprotkb:Q24325	 DIP-147N|refseq:NP_004597|uniprotkb:P21675	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0013(biophysical)	-	pmid:8178153|pmid:8178153	taxid:7227	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-162E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	 DIP-343N|refseq:NP_009971|uniprotkb:P23255	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pmid:8178153|pmid:8178153	taxid:9606	taxid:4932	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-164E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1021N|uniprotkb:P11277	 DIP-1020N|refseq:NP_003117|uniprotkb:P02549	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8226774	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-171E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-493N|uniprotkb:Q62311	 DIP-147N|refseq:NP_004597|uniprotkb:P21675	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pmid:7667268|pmid:7667268|pmid:7667268	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-172E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-435N|uniprotkb:Q16594	 DIP-493N|uniprotkb:Q62311	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:7667268|pmid:7667268|pmid:7667268	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-173E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-493N|uniprotkb:Q62311	 DIP-496N|refseq:NP_005635|uniprotkb:Q16514	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:7667268|pmid:7667268|pmid:7667268	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-174E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-493N|uniprotkb:Q62311	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7667268|pmid:7667268|pmid:7667268	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-175E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-493N|uniprotkb:Q62311	 DIP-717N|refseq:NP_005504|uniprotkb:P29083	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7667268	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-176E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-677N|refseq:NP_002087|uniprotkb:P35269	 DIP-493N|uniprotkb:Q62311	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7667268	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-177E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-773N|uniprotkb:P49848	 DIP-435N|uniprotkb:Q16594	 -	 -	 -	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7597030|pmid:7597030	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-178E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	 DIP-435N|uniprotkb:Q16594	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:7597030|pmid:7597030	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-179E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-435N|uniprotkb:Q16594	 DIP-524N|refseq:NP_044650	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:7597030	taxid:9606	taxid:10298	MI:0218(physical interaction)	MI:0465(dip)	DIP-180E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-269N|uniprotkb:Q15572	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pmid:7801130|pmid:7801130	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-181E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	 DIP-429N|uniprotkb:Q15545	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7824954|pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-182E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	 DIP-429N|uniprotkb:Q15545	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)	-	pmid:7824954|pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-183E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-429N|uniprotkb:Q15545	 DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pmid:7824954|pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-184E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-429N|uniprotkb:Q15545	 DIP-654N|refseq:NP_009053|uniprotkb:P22415	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pmid:7824954|pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-185E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-394N|uniprotkb:Q16619	 DIP-429N|uniprotkb:Q15545	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pmid:7824954|pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-186E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-429N|uniprotkb:Q15545	 DIP-748N|uniprotkb:P43268	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-187E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	 DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-188E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	 DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7824954	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-189E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	 DIP-147N|refseq:NP_004597|uniprotkb:P21675	 -	 -	 -	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pmid:7724524|pmid:7724524|pmid:7724524|pmid:7724524	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-191E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-677N|refseq:NP_002087|uniprotkb:P35269	 DIP-49N|refseq:NP_003122|uniprotkb:P11831	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0018(two hybrid)|MI:0071(molecular sieving)	-	pmid:7854423|pmid:7854423|pmid:7854423	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-192E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-368N|uniprotkb:P04637	 DIP-239N|refseq:NP_523391|uniprotkb:Q27272	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:7809597	taxid:9606	taxid:7227	MI:0218(physical interaction)	MI:0465(dip)	DIP-193E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-368N|uniprotkb:P04637	 DIP-435N|uniprotkb:Q16594	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)	-	pmid:7809597|pmid:11278372	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-194E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-773N|uniprotkb:P49848	 DIP-368N|uniprotkb:P04637	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:7809597	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-195E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-237N|uniprotkb:P47825	 DIP-36N|refseq:NP_612482|uniprotkb:P08047	 -	 -	 -	-	MI:0401(biochemical)|MI:0018(two hybrid)	-	pmid:8278363|pmid:8278363	taxid:7227	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-196E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	 DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:8327494|pmid:8327494|pmid:8327494	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-198E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-772N|uniprotkb:P49847	 DIP-368N|uniprotkb:P04637	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:7809597	taxid:7227	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-199E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-652N|refseq:NP_005162|uniprotkb:P18846	 DIP-570N|uniprotkb:P03254	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)|MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:9606	taxid:10515	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-200E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-632N|uniprotkb:P15336	 DIP-570N|uniprotkb:P03254	 -	 -	 -	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:9606	taxid:10515	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-201E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-344N|uniprotkb:P18847	 DIP-570N|uniprotkb:P03254	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:9606	taxid:10515	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-202E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-570N|uniprotkb:P03254	 DIP-270N|uniprotkb:P45984	 -	 -	 -	-	MI:0401(biochemical)|MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:10515	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-203E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-654N|refseq:NP_009053|uniprotkb:P22415	 DIP-570N|uniprotkb:P03254	 -	 -	 -	-	MI:0401(biochemical)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:9606	taxid:10515	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-204E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	 DIP-570N|uniprotkb:P03254	 -	 -	 -	-	MI:0401(biochemical)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:9606	taxid:10515	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-205E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-570N|uniprotkb:P03254	 DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	 -	 -	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pmid:8139685|pmid:8139685|pmid:8139685|pmid:8139685	taxid:10515	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-206E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
